name,confirmed,recovered,death,added_date
武汉,39462,2915,1233,20200216
孝感,3201,353,65,20200216
黄冈,2823,716,75,20200216
荆州,1490,263,36,20200216
随州,1254,113,22,20200216
鄂州,1230,222,34,20200216
襄阳,1144,114,19,20200216
黄石,988,192,14,20200216
荆门,909,117,30,20200216
宜昌,901,140,21,20200216
咸宁,852,152,8,20200216
十堰,602,116,2,20200216
仙桃,523,87,17,20200216
天门,447,27,10,20200216
恩施,247,76,4,20200216
潜江,166,12,6,20200216
神农架林区,10,8,-,20200216
深圳,414,115,-,20200216
广州,338,121,-,20200216
珠海,96,37,-,20200216
东莞,89,10,1,20200216
佛山,84,23,-,20200216
中山,65,34,-,20200216
惠州,58,26,-,20200216
汕头,25,11,-,20200216
江门,23,4,-,20200216
湛江,22,11,-,20200216
肇庆,17,8,1,20200216
梅州,16,7,-,20200216
茂名,13,3,-,20200216
阳江,13,7,-,20200216
清远,12,7,-,20200216
韶关,10,4,-,20200216
揭阳,8,4,-,20200216
汕尾,5,1,-,20200216
潮州,5,1,-,20200216
河源,3,1,-,20200216
待确认,-,1,-,20200216
信阳,261,64,2,20200216
南阳,151,32,2,20200216
郑州,148,64,-,20200216
驻马店,138,64,-,20200216
商丘,91,30,2,20200216
周口,71,23,-,20200216
平顶山,58,19,1,20200216
新乡,56,10,2,20200216
安阳,51,16,-,20200216
许昌,38,6,-,20200216
漯河,34,9,-,20200216
洛阳,31,8,-,20200216
焦作,30,6,1,20200216
开封,26,6,-,20200216
鹤壁,19,4,-,20200216
濮阳,17,2,-,20200216
三门峡,7,4,-,20200216
济源,4,-,-,20200216
待确认,-,30,3,20200216
温州,502,169,-,20200216
杭州,166,75,-,20200216
宁波,155,53,-,20200216
台州,146,60,-,20200216
金华,55,24,-,20200216
嘉兴,43,11,-,20200216
绍兴,42,17,-,20200216
衢州,21,9,-,20200216
丽水,17,10,-,20200216
湖州,10,4,-,20200216
舟山,10,5,-,20200216
长沙,241,73,1,20200216
岳阳,154,51,1,20200216
邵阳,101,59,1,20200216
常德,79,28,-,20200216
株洲,78,29,-,20200216
娄底,75,34,-,20200216
益阳,59,25,-,20200216
衡阳,47,28,-,20200216
永州,43,27,-,20200216
怀化,40,30,-,20200216
郴州,39,22,-,20200216
湘潭,35,14,-,20200216
湘西州,8,6,-,20200216
张家界,5,4,-,20200216
合肥,169,43,1,20200216
蚌埠,157,9,5,20200216
阜阳,152,32,-,20200216
亳州,108,25,-,20200216
安庆,82,33,-,20200216
六安,65,15,-,20200216
宿州,39,11,-,20200216
马鞍山,36,10,-,20200216
芜湖,31,11,-,20200216
铜陵,28,10,-,20200216
淮北,26,10,-,20200216
淮南,24,7,-,20200216
池州,17,4,-,20200216
滁州,13,7,-,20200216
黄山,9,1,-,20200216
宣城,6,4,-,20200216
南昌,227,75,-,20200216
新余,129,37,-,20200216
上饶,123,31,-,20200216
九江,117,22,-,20200216
宜春,104,20,-,20200216
赣州,76,17,1,20200216
抚州,72,20,-,20200216
萍乡,32,4,-,20200216
吉安,21,9,-,20200216
鹰潭,18,3,-,20200216
景德镇,5,1,-,20200216
赣江新区,1,-,-,20200216
南京,92,29,-,20200216
苏州,86,26,-,20200216
徐州,78,23,-,20200216
淮安,63,13,-,20200216
无锡,53,18,-,20200216
连云港,48,12,-,20200216
常州,46,11,-,20200216
南通,40,15,-,20200216
泰州,37,16,-,20200216
盐城,27,9,-,20200216
扬州,22,7,-,20200216
宿迁,13,7,-,20200216
镇江,12,4,-,20200216
万州区,105,34,3,20200216
江北区,27,3,-,20200216
云阳县,23,16,-,20200216
綦江区,23,5,-,20200216
合川区,23,6,-,20200216
奉节县,20,5,-,20200216
开州区,20,12,1,20200216
忠县,20,9,-,20200216
九龙坡区,20,7,1,20200216
长寿区,20,9,-,20200216
垫江县,20,5,-,20200216
渝中区,20,7,-,20200216
潼南区,18,2,-,20200216
两江新区,17,7,-,20200216
渝北区,15,5,0,20200216
南岸区,15,2,-,20200216
大足区,14,2,-,20200216
石柱县,14,5,-,20200216
巫溪县,13,8,-,20200216
丰都县,10,3,-,20200216
巫山县,10,5,-,20200216
铜梁区,9,2,-,20200216
荣昌区,9,-,-,20200216
璧山区,8,4,-,20200216
沙坪坝区,8,-,-,20200216
大渡口区,7,4,-,20200216
巴南区,6,1,-,20200216
永川区,5,2,-,20200216
梁平区,4,4,-,20200216
江津区,4,2,-,20200216
高新区,4,1,-,20200216
涪陵区,3,1,-,20200216
城口县,2,2,-,20200216
黔江区,2,2,-,20200216
彭水县,2,-,-,20200216
武隆县,1,1,-,20200216
秀山县,1,1,-,20200216
酉阳县,1,-,-,20200216
万盛经开区,1,-,-,20200216
青岛,57,22,1,20200216
济宁,51,18,-,20200216
济南,47,11,-,20200216
临沂,47,29,-,20200216
烟台,46,13,-,20200216
潍坊,43,9,-,20200216
威海,38,9,-,20200216
聊城,38,10,-,20200216
德州,37,7,1,20200216
泰安,32,5,-,20200216
淄博,29,4,-,20200216
枣庄,24,4,-,20200216
菏泽,18,11,-,20200216
日照,16,3,-,20200216
滨州,14,9,-,20200216
成都,140,49,3,20200216
甘孜州,50,3,-,20200216
达州,36,5,-,20200216
南充,35,9,-,20200216
广安,30,10,-,20200216
巴中,24,1,-,20200216
内江,22,5,-,20200216
绵阳,22,6,-,20200216
泸州,19,2,-,20200216
德阳,17,-,-,20200216
凉山州,13,5,-,20200216
攀枝花,13,10,-,20200216
遂宁,12,4,-,20200216
宜宾,11,6,-,20200216
自贡,9,2,-,20200216
眉山,8,2,-,20200216
雅安,7,2,-,20200216
广元,6,2,-,20200216
乐山,3,2,-,20200216
资阳,3,2,-,20200216
阿坝州,1,-,-,20200216
哈尔滨,182,27,3,20200216
双鸭山,49,1,2,20200216
鸡西,46,1,-,20200216
绥化,46,12,4,20200216
齐齐哈尔,38,8,1,20200216
大庆,19,2,1,20200216
七台河,16,4,-,20200216
佳木斯,15,9,-,20200216
黑河,14,-,-,20200216
牡丹江,12,1,-,20200216
鹤岗,5,2,-,20200216
大兴安岭地区,2,-,-,20200216
伊春,1,-,-,20200216
待确认,-,3,-,20200216
海淀区,60,-,-,20200216
朝阳区,58,-,-,20200216
西城区,46,-,-,20200216
大兴区,39,2,-,20200216
丰台区,39,-,-,20200216
昌平区,25,-,-,20200216
通州区,18,-,-,20200216
房山区,15,-,-,20200216
石景山区,14,1,-,20200216
东城区,12,1,-,20200216
顺义区,10,-,-,20200216
怀柔区,7,-,-,20200216
密云区,7,-,-,20200216
门头沟区,3,-,-,20200216
延庆区,1,-,-,20200216
外地来京人员,26,2,-,20200216
待确认,-,99,4,20200216
浦东新区,57,27,-,20200216
宝山区,21,5,-,20200216
闵行区,18,7,-,20200216
徐汇区,18,4,-,20200216
静安区,16,7,-,20200216
松江区,14,2,-,20200216
长宁区,13,6,-,20200216
普陀区,11,2,-,20200216
嘉定区,9,2,-,20200216
杨浦区,9,2,-,20200216
奉贤区,9,1,-,20200216
虹口区,7,3,-,20200216
黄浦区,6,2,-,20200216
青浦区,5,4,-,20200216
金山区,3,2,-,20200216
崇明区,3,-,-,20200216
外地来沪人员,109,48,-,20200216
待确认,-,16,1,20200216
唐山,51,9,-,20200216
沧州,47,14,2,20200216
张家口,34,9,-,20200216
保定,32,19,-,20200216
邯郸,31,9,-,20200216
廊坊,30,14,-,20200216
石家庄,28,7,-,20200216
邢台,22,10,1,20200216
秦皇岛,10,3,-,20200216
衡水,8,4,-,20200216
承德,7,2,-,20200216
福州,68,20,-,20200216
莆田,55,12,-,20200216
泉州,46,13,-,20200216
厦门,34,5,-,20200216
宁德,25,6,-,20200216
南平,20,5,-,20200216
漳州,20,6,-,20200216
三明,13,3,-,20200216
龙岩,6,1,-,20200216
待确认,-,6,-,20200216
南宁,50,11,-,20200216
北海,43,7,1,20200216
桂林,31,10,-,20200216
柳州,24,8,-,20200216
河池,22,-,1,20200216
防城港,18,1,-,20200216
来宾,11,-,-,20200216
玉林,10,1,-,20200216
钦州,8,1,-,20200216
贵港,8,2,-,20200216
梧州,5,5,-,20200216
贺州,4,-,-,20200216
百色,3,-,-,20200216
西安,114,21,-,20200216
汉中,25,1,-,20200216
安康,24,5,-,20200216
咸阳,17,5,-,20200216
渭南,15,1,-,20200216
宝鸡,13,7,-,20200216
延安,8,6,-,20200216
铜川,8,4,-,20200216
商洛,7,1,-,20200216
榆林,3,1,-,20200216
韩城,1,1,-,20200216
杨凌示范区,1,-,-,20200216
待确认,-,11,-,20200216
昆明,49,8,-,20200216
昭通,25,2,-,20200216
西双版纳傣族自治州,15,3,-,20200216
玉溪,14,3,-,20200216
大理州,13,6,-,20200216
